"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code","zone_id"
"de:08335:6560","","Radolfzell",,"47.735873000000","8.968984000000",0,,0,"",""
"de:03459:77735","","Rieste",,"52.484937000000","8.010753000000",0,,0,"","Rieste-7693"
"de:01058:77715","","Rieseby",,"54.541358000000","9.820489000000",0,,0,"","3460-3465"
"de:01051:68292","","Nordhastedt",,"54.168981000000","9.180273000000",0,,0,"","2250-2603"
"de:03461:67997","","Nordenham",,"53.483841000000","8.487495000000",0,,0,"","850-850|Nordenham-1850|VBN-VBN"
"de:03451:3761","","Augustfehn",,"53.220894000000","7.759677000000",0,,0,"","165-165|770-770|Apen-1770|VBN-VBN|VEJ-VEJ"
"de:13075:6237","","Pasewalk",,"53.514815000000","13.989126000000",0,,0,"",""
"de:13003:1489","","Rostock Hauptbahnhof",,"54.078397000000","12.130710000000",0,,0,"","1-3001"
"de:03152:28562","","Friedland(Kr Göttingen)",,"51.421479000000","9.914869000000",0,,0,"","Friedland-230|Friedland-3230|VSN-VSN"
"de:06632:202352","","Ludwigsau-Friedlos Bahnhof",,"50.897443000000","9.743636000000",0,,0,"",""
"de:03353:8005640","","Sprötze",,"53.309649000000","9.812669000000",0,,0,"","HVV-HVV|HVV Zone 708-HVV-708"
"de:01058:34526","","Hademarschen",,"54.122809000000","9.414475000000",0,,0,"","3090-3098"
"de:13075:6476","","Eggesin Bahnhof",,"53.681392000000","14.072647000000",0,,0,"",""
"de:03241:9206","","Hämelerwald Bahnhof",,"52.354704000000","10.110601000000",0,,0,"","101-101|3-3|4-4|55-55|GVH-GVH|Region-5003|VRB-VRB"
"de:03352:88621","","Stubben(b Bremerhaven)",,"53.405877000000","8.780526000000",0,,0,"","230-230|Beverstedt-1230|VBN-VBN"
"de:02000:86960","","Hamburg Burgwedel",,"53.647614000000","9.908496000000",0,,0,"","303-48|HVV-HVV|HVV Zone AB-HVV-AB"
"de:01056:37968","","Bönningstedt",,"53.663395000000","9.910243000000",0,,0,"","403-61|HVV-HVV|HVV Zone AB-HVV-AB"
"de:02000:83960","","Hamburg-Eidelstedt Zentrum",,"53.610375000000","9.901522000000",0,,0,"","201-29|HVV-HVV|HVV Zone AB-HVV-AB"
"de:02000:86961","","Hamburg-Schnelsen",,"53.634124000000","9.906616000000",0,,0,"","303-49|HVV-HVV|HVV Zone AB-HVV-AB"
"de:03151:7009","","Schönewörde",,"52.628178000000","10.634899000000",0,,0,"","11-11|VRB-VRB|Wahrenholz-4011"
"de:01056:37967","","Hasloh",,"53.694569000000","9.919906000000",0,,0,"","403-62|HVV-HVV|HVV Zone AB-HVV-AB"
"de:01056:37965","","Quickborn",,"53.731130000000","9.904759000000",0,,0,"","503-80|HVV-HVV|HVV Zone AB-HVV-AB"
"de:01058:43067","","Hohenwestedt",,"54.086587000000","9.654165000000",0,,0,"","3290-3292"
"de:13075:6275","","Blumenhagen Bahnhof",,"53.528395000000","13.872379000000",0,,0,"",""
"de:06631:11048","","Hünfeld Bahnhof",,"50.673305000000","9.763198000000",0,,0,"",""
"de:01060:37980","","Rickling",,"53.999050000000","10.168320000000",0,,0,"","823-426"
"de:03155:68990","","Nörten-Hardenberg",,"51.628219000000","9.933176000000",0,,0,"","Nörten-Hardenberg-3390|Nörten-Hardenberg-390|VSN-VSN"
